requirement_id,total_links,found_links,top1_hits,top5_hits,top10_hits,best_rank,avg_rank_found,found_rate,difficulty_label
UC10E1.txt,3,0,0,0,0,,,0.0,hard
UC10E2.txt,3,0,0,0,0,,,0.0,hard
UC10S1.txt,8,2,0,0,2,6.0,6.5,0.25,mixed
UC10S2.txt,2,0,0,0,0,,,0.0,hard
UC11E1.txt,3,0,0,0,0,,,0.0,hard
UC11E2.txt,3,0,0,0,0,,,0.0,hard
UC11S1.txt,4,0,0,0,0,,,0.0,hard
UC11S2.txt,4,2,0,1,2,3.0,5.5,0.5,mixed
UC12.txt,2,0,0,0,0,,,0.0,hard
UC13.txt,3,1,0,1,1,3.0,3.0,0.3333,mixed
UC13E1.txt,3,0,0,0,0,,,0.0,hard
UC15E1.txt,4,1,0,0,1,10.0,10.0,0.25,mixed
UC15S1.txt,3,2,1,2,2,1.0,2.0,0.6667,mixed
UC15S2.txt,3,2,1,2,2,1.0,3.0,0.6667,mixed
UC15S3.txt,3,2,1,2,2,1.0,2.0,0.6667,mixed
UC15S4.txt,3,1,1,1,1,1.0,1.0,0.3333,mixed
UC16.txt,7,3,0,0,3,6.0,7.666666666666667,0.4286,mixed
UC17S1.txt,3,0,0,0,0,,,0.0,hard
UC17S2.txt,2,2,0,2,2,2.0,2.5,1.0,mixed
UC17S3.txt,2,2,0,1,2,2.0,6.0,1.0,mixed
UC18E1.txt,1,1,0,1,1,4.0,4.0,1.0,mixed
UC18E2.txt,1,1,0,1,1,4.0,4.0,1.0,mixed
UC18S1.txt,3,0,0,0,0,,,0.0,hard
UC18S2.txt,3,0,0,0,0,,,0.0,hard
UC19E1.txt,3,0,0,0,0,,,0.0,hard
UC19E2.txt,3,0,0,0,0,,,0.0,hard
UC19S1.txt,4,1,0,1,1,4.0,4.0,0.25,mixed
UC19S2.txt,3,2,0,0,2,8.0,8.5,0.6667,mixed
UC19S3.txt,2,0,0,0,0,,,0.0,hard
UC1E1.txt,1,0,0,0,0,,,0.0,hard
UC1S1.txt,5,1,0,0,1,9.0,9.0,0.2,mixed
UC21E1.txt,3,0,0,0,0,,,0.0,hard
UC21E2.txt,3,0,0,0,0,,,0.0,hard
UC21S1.txt,4,0,0,0,0,,,0.0,hard
UC23E1.txt,3,0,0,0,0,,,0.0,hard
UC23E2.txt,4,0,0,0,0,,,0.0,hard
UC23S1.txt,4,0,0,0,0,,,0.0,hard
UC23S3.txt,10,3,0,1,3,3.0,6.333333333333333,0.3,mixed
UC23S4.txt,3,1,0,1,1,3.0,3.0,0.3333,mixed
UC24.txt,3,1,0,0,1,9.0,9.0,0.3333,mixed
UC25.txt,4,1,0,0,1,9.0,9.0,0.25,mixed
UC25E1.txt,1,0,0,0,0,,,0.0,hard
UC26E1.txt,4,0,0,0,0,,,0.0,hard
UC26E2.txt,4,0,0,0,0,,,0.0,hard
UC26S1.txt,3,0,0,0,0,,,0.0,hard
UC26S2.txt,9,0,0,0,0,,,0.0,hard
UC26S3.txt,7,0,0,0,0,,,0.0,hard
UC26S4.txt,2,0,0,0,0,,,0.0,hard
UC27S1.txt,3,2,0,2,2,2.0,3.5,0.6667,mixed
UC27S2.txt,3,0,0,0,0,,,0.0,hard
UC28.txt,4,1,0,1,1,2.0,2.0,0.25,mixed
UC29.txt,6,4,0,3,4,2.0,5.0,0.6667,mixed
UC2E2.txt,1,1,1,1,1,1.0,1.0,1.0,easy
UC2S1.txt,4,1,1,1,1,1.0,1.0,0.25,mixed
UC2S2.txt,4,1,1,1,1,1.0,1.0,0.25,mixed
UC30E1.txt,3,0,0,0,0,,,0.0,hard
UC30E2.txt,4,0,0,0,0,,,0.0,hard
UC30S1.txt,4,1,0,1,1,3.0,3.0,0.25,mixed
UC30S2.txt,7,1,0,1,1,3.0,3.0,0.1429,mixed
UC30S3.txt,4,1,0,0,1,9.0,9.0,0.25,mixed
UC30S4.txt,5,1,0,0,1,7.0,7.0,0.2,mixed
UC30S5.txt,4,0,0,0,0,,,0.0,hard
UC31S1.txt,4,2,0,1,2,2.0,5.5,0.5,mixed
UC31S2.txt,2,0,0,0,0,,,0.0,hard
UC32E1.txt,1,0,0,0,0,,,0.0,hard
UC32S2.txt,4,2,0,0,2,9.0,9.5,0.5,mixed
UC33E1.txt,1,0,0,0,0,,,0.0,hard
